,0
0,"02 July 10, 2016"
1,"04 July 10, 2016"
2,"04 July 10, 2016"
3,"05 July 10, 2016"
4,"06 July 10, 2016"
5,"06 July 10, 2016"
6,"06 July 10, 2016"
7,"00 June 19, 2016"
8,"06 July 10, 2016"
9,"06 July 10, 2016"
10,"06 July 10, 2016"
11,"06 July 10, 2016"
12,"07 July 10, 2016"
13,"07 July 10, 2016"
14,"07 July 10, 2016"
15,"00 May 19, 2016"
16,"07 July 10, 2016"
17,"07 July 10, 2016"
18,"07 July 10, 2016"
19,"07 July 10, 2016"
20,"07 July 10, 2016"
21,"00 February 19, 2016"
22,"07 July 10, 2016"
23,"07 July 10, 2016"
24,"07 July 10, 2016"
25,"08 July 10, 2016"
26,"08 July 10, 2016"
27,"08 July 10, 2016"
28,"08 July 10, 2016"
29,"08 July 10, 2016"
30,"08 July 10, 2016"
31,"08 July 10, 2016"
32,"08 July 10, 2016"
33,"08 July 10, 2016"
34,"08 July 10, 2016"
35,"09 July 10, 2016"
36,"09 July 10, 2016"
37,"09 July 10, 2016"
38,"09 July 10, 2016"
39,"12 November 19, 2016"
40,"09 July 10, 2016"
41,"09 July 10, 2016"
42,"09 July 10, 2016"
43,"09 July 10, 2016"
44,"09 July 10, 2016"
45,"09 July 10, 2016"
46,"09 July 10, 2016"
47,"09 July 10, 2016"
48,"09 July 10, 2016"
49,"09 July 10, 2016"
50,"09 July 10, 2016"
51,"09 July 10, 2016"
52,"09 July 10, 2016"
53,"09 July 10, 2016"
54,"09 July 10, 2016"
55,"09 July 10, 2016"
56,"09 July 10, 2016"
57,"09 July 10, 2016"
58,"09 July 10, 2016"
59,"09 July 10, 2016"
60,"09 July 10, 2016"
61,"09 July 10, 2016"
62,"09 July 10, 2016"
63,"09 July 10, 2016"
64,"09 July 10, 2016"
65,"09 July 10, 2016"
66,"10 July 10, 2016"
67,"10 July 10, 2016"
68,"10 July 10, 2016"
69,"10 July 10, 2016"
70,"10 July 10, 2016"
71,"10 July 10, 2016"
72,"10 July 10, 2016"
73,"10 July 10, 2016"
74,"10 July 10, 2016"
75,"10 July 10, 2016"
76,"10 July 10, 2016"
77,"10 July 10, 2016"
78,"10 July 10, 2016"
79,"10 July 10, 2016"
80,"10 July 10, 2016"
81,"10 July 10, 2016"
82,"10 July 10, 2016"
83,"11 July 10, 2016"
84,"11 July 10, 2016"
85,"11 July 10, 2016"
86,"11 July 10, 2016"
87,"11 July 10, 2016"
88,"11 July 10, 2016"
89,"11 July 10, 2016"
90,"11 July 10, 2016"
91,"11 July 10, 2016"
92,"11 July 10, 2016"
93,"11 July 10, 2016"
94,"11 July 10, 2016"
95,"11 July 10, 2016"
96,"11 July 10, 2016"
97,"11 July 10, 2016"
98,"11 July 10, 2016"
99,"11 July 10, 2016"
100,"11 July 10, 2016"
101,"11 July 10, 2016"
102,"11 July 10, 2016"
103,"00 July 19, 1970"
104,"11 July 10, 2016"
105,"11 July 10, 2016"
106,"11 July 10, 2016"
107,"11 July 10, 2016"
108,"12 July 10, 2016"
109,"12 July 10, 2016"
110,"12 July 10, 2016"
111,"12 July 10, 2016"
112,"12 July 10, 2016"
113,"12 July 10, 2016"
114,"12 July 10, 2016"
115,"12 July 10, 2016"
116,"12 July 10, 2016"
117,"12 July 10, 2016"
118,"12 July 10, 2016"
119,"12 July 10, 2016"
120,"12 July 10, 2016"
121,"12 July 10, 2016"
122,"12 July 10, 2016"
123,"12 July 10, 2016"
124,"12 July 10, 2016"
125,"12 July 10, 2016"
126,"00 November 19, 2016"
127,"12 July 10, 2016"
128,"12 July 10, 2016"
129,"12 July 10, 2016"
130,"12 July 10, 2016"
131,"12 July 10, 2016"
132,"12 July 10, 2016"
133,"12 July 10, 2016"
134,"12 July 10, 2016"
135,"12 July 10, 2016"
136,"12 July 10, 2016"
137,"12 July 10, 2016"
138,"12 July 10, 2016"
139,"12 July 10, 2016"
140,"12 July 10, 2016"
141,"12 July 10, 2016"
142,"12 July 10, 2016"
143,"12 July 10, 2016"
144,"12 July 10, 2016"
145,"12 July 10, 2016"
146,"12 July 10, 2016"
147,"12 July 10, 2016"
148,"12 July 10, 2016"
149,"13 July 10, 2016"
150,"13 July 10, 2016"
151,"13 July 10, 2016"
152,"13 July 10, 2016"
153,"13 July 10, 2016"
154,"13 July 10, 2016"
155,"13 July 10, 2016"
156,"13 July 10, 2016"
157,"13 July 10, 2016"
158,"13 July 10, 2016"
159,"13 July 10, 2016"
160,"13 July 10, 2016"
161,"13 July 10, 2016"
162,"13 July 10, 2016"
163,"13 July 10, 2016"
164,"13 July 10, 2016"
165,"13 July 10, 2016"
166,"13 July 10, 2016"
167,"13 July 10, 2016"
168,"13 July 10, 2016"
169,"13 July 10, 2016"
170,"13 July 10, 2016"
171,"13 July 10, 2016"
172,"13 July 10, 2016"
173,"13 July 10, 2016"
174,"13 July 10, 2016"
175,"13 July 10, 2016"
176,"13 July 10, 2016"
177,"00 January 06, 2016"
178,"00 November 06, 2016"
179,"13 July 10, 2016"
180,"00 January 06, 2016"
181,"00 November 06, 2016"
182,"13 July 10, 2016"
183,"13 July 10, 2016"
184,"13 July 10, 2016"
185,"13 July 10, 2016"
186,"13 July 10, 2016"
187,"13 July 10, 2016"
188,"13 July 10, 2016"
189,"13 July 10, 2016"
190,"13 July 10, 2016"
191,"13 July 10, 2016"
192,"13 July 10, 2016"
193,"13 July 10, 2016"
194,"13 July 10, 2016"
195,"13 July 10, 2016"
196,"13 July 10, 2016"
197,"13 July 10, 2016"
198,"13 July 10, 2016"
199,"14 July 10, 2016"
200,"14 July 10, 2016"
201,"14 July 10, 2016"
202,"14 July 10, 2016"
203,"14 July 10, 2016"
204,"14 July 10, 2016"
205,"14 July 10, 2016"
206,"14 July 10, 2016"
207,"14 July 10, 2016"
208,"14 July 10, 2016"
