,0
0,"00 July 10, 2016"
1,"00 July 10, 2016"
2,"00 July 10, 2016"
3,"01 July 10, 2016"
4,"04 July 10, 2016"
5,"05 July 10, 2016"
6,"05 July 10, 2016"
7,"05 July 10, 2016"
8,"05 July 10, 2016"
9,"05 July 10, 2016"
10,"00 November 19, 2016"
11,"05 July 10, 2016"
12,"06 July 10, 2016"
13,"07 July 10, 2016"
14,"07 July 10, 2016"
15,"07 July 10, 2016"
16,"07 July 10, 2016"
17,"07 July 10, 2016"
18,"07 July 10, 2016"
19,"08 July 10, 2016"
20,"08 July 10, 2016"
21,"08 July 10, 2016"
22,"08 July 10, 2016"
23,"08 July 10, 2016"
24,"08 July 10, 2016"
25,"08 July 10, 2016"
26,"08 July 10, 2016"
27,"08 July 10, 2016"
28,"08 July 10, 2016"
29,"08 July 10, 2016"
30,"08 July 10, 2016"
31,"08 July 10, 2016"
32,"08 July 10, 2016"
33,"08 July 10, 2016"
34,"08 July 10, 2016"
35,"08 July 10, 2016"
36,"08 July 10, 2016"
37,"08 July 10, 2016"
38,"08 July 10, 2016"
39,"08 July 10, 2016"
40,"08 July 10, 2016"
41,"09 July 10, 2016"
42,"09 July 10, 2016"
43,"09 July 10, 2016"
44,"09 July 10, 2016"
45,"09 July 10, 2016"
46,"09 July 10, 2016"
47,"09 July 10, 2016"
48,"09 July 10, 2016"
49,"09 July 10, 2016"
50,"09 July 10, 2016"
51,"09 July 10, 2016"
52,"09 July 10, 2016"
53,"09 July 10, 2016"
54,"10 July 10, 2016"
55,"10 July 10, 2016"
56,"10 July 10, 2016"
57,"10 July 10, 2016"
58,"10 July 10, 2016"
59,"10 July 10, 2016"
60,"10 July 10, 2016"
61,"10 July 10, 2016"
62,"10 July 10, 2016"
63,"10 July 10, 2016"
64,"10 July 10, 2016"
65,"10 July 10, 2016"
66,"11 July 10, 2016"
67,"11 July 10, 2016"
68,"11 July 10, 2016"
69,"11 July 10, 2016"
70,"12 July 10, 2016"
71,"12 July 10, 2016"
72,"12 July 10, 2016"
73,"12 July 10, 2016"
74,"12 July 10, 2016"
75,"12 July 10, 2016"
76,"13 July 10, 2016"
77,"13 July 10, 2016"
78,"13 July 10, 2016"
79,"13 July 10, 2016"
80,"13 July 10, 2016"
81,"13 July 10, 2016"
82,"13 July 10, 2016"
83,"13 July 10, 2016"
84,"13 July 10, 2016"
85,"13 July 10, 2016"
86,"13 July 10, 2016"
87,"14 July 10, 2016"
88,"14 July 10, 2016"
89,"14 July 10, 2016"
90,"14 July 10, 2016"
91,"14 July 10, 2016"
92,"14 July 10, 2016"
93,"14 July 10, 2016"
94,"14 July 10, 2016"
95,"14 July 10, 2016"
96,"14 July 10, 2016"
97,"15 July 10, 2016"
98,"15 July 10, 2016"
99,"15 July 10, 2016"
100,"15 July 10, 2016"
101,"15 July 10, 2016"
102,"15 July 10, 2016"
103,"15 July 10, 2016"
104,"15 July 10, 2016"
105,"15 July 10, 2016"
106,"15 July 10, 2016"
107,"15 July 10, 2016"
108,"15 July 10, 2016"
109,"16 July 10, 2016"
110,"16 July 10, 2016"
111,"16 July 10, 2016"
112,"16 July 10, 2016"
113,"16 July 10, 2016"
114,"16 July 10, 2016"
115,"00 January 19, 2016"
116,"16 July 10, 2016"
117,"16 July 10, 2016"
118,"16 July 10, 2016"
119,"16 July 10, 2016"
120,"16 July 10, 2016"
121,"16 July 10, 2016"
122,"17 July 10, 2016"
123,"17 July 10, 2016"
124,"17 July 10, 2016"
125,"17 July 10, 2016"
126,"17 July 10, 2016"
127,"17 July 10, 2016"
128,"17 July 10, 2016"
129,"17 July 10, 2016"
130,"17 July 10, 2016"
131,"17 July 10, 2016"
132,"17 July 10, 2016"
133,"18 July 10, 2016"
134,"18 July 10, 2016"
