,0
0,"00 July 10, 2016"
1,"05 July 10, 2016"
2,"05 July 10, 2016"
3,"05 July 10, 2016"
4,"06 July 10, 2016"
5,"07 July 10, 2016"
6,"08 July 10, 2016"
7,"08 July 10, 2016"
8,"08 July 10, 2016"
9,"08 July 10, 2016"
10,"00 November 13, 2016"
11,"09 July 10, 2016"
12,"09 July 10, 2016"
13,"09 July 10, 2016"
14,"09 July 10, 2016"
15,"10 July 10, 2016"
16,"10 July 10, 2016"
17,"10 July 10, 2016"
18,"10 July 10, 2016"
19,"10 July 10, 2016"
20,"11 July 10, 2016"
21,"00 March 19, 2016"
22,"11 July 10, 2016"
23,"11 July 10, 2016"
24,"12 July 10, 2016"
25,"12 July 10, 2016"
26,"12 July 10, 2016"
27,"12 July 10, 2016"
28,"12 July 10, 2016"
29,"12 July 10, 2016"
30,"12 July 10, 2016"
31,"12 July 10, 2016"
32,"12 July 10, 2016"
33,"13 July 10, 2016"
34,"13 July 10, 2016"
35,"13 July 10, 2016"
36,"13 July 10, 2016"
37,"14 July 10, 2016"
38,"14 July 10, 2016"
39,"14 July 10, 2016"
40,"15 July 10, 2016"
41,"15 July 10, 2016"
42,"15 July 10, 2016"
43,"15 July 10, 2016"
44,"15 July 10, 2016"
45,"16 July 10, 2016"
46,"16 July 10, 2016"
47,"16 July 10, 2016"
48,"17 July 10, 2016"
49,"18 July 10, 2016"
50,"18 July 10, 2016"
51,"18 July 10, 2016"
52,"18 July 10, 2016"
53,"18 July 10, 2016"
54,"19 July 10, 2016"
55,"19 July 10, 2016"
56,"19 July 10, 2016"
57,"19 July 10, 2016"
58,"19 July 10, 2016"
59,"19 July 10, 2016"
60,"19 July 10, 2016"
61,"20 July 10, 2016"
62,"20 July 10, 2016"
63,"20 July 10, 2016"
64,"21 July 10, 2016"
65,"23 July 10, 2016"
66,"23 July 10, 2016"
67,"23 July 10, 2016"
68,"00 July 11, 2016"
69,"03 July 11, 2016"
70,"06 July 11, 2016"
71,"06 July 11, 2016"
72,"06 July 11, 2016"
73,"07 July 11, 2016"
74,"08 July 11, 2016"
75,"09 July 11, 2016"
76,"00 November 19, 2016"
77,"09 July 11, 2016"
78,"09 July 11, 2016"
79,"09 July 11, 2016"
80,"10 July 11, 2016"
81,"10 July 11, 2016"
82,"10 July 11, 2016"
83,"11 July 11, 2016"
