,0
0,"04 July 10, 2016"
1,"06 July 10, 2016"
2,"07 July 10, 2016"
3,"07 July 10, 2016"
4,"07 July 10, 2016"
5,"07 July 10, 2016"
6,"08 July 10, 2016"
7,"08 July 10, 2016"
8,"08 July 10, 2016"
9,"08 July 10, 2016"
10,"08 July 10, 2016"
11,"08 July 10, 2016"
12,"08 July 10, 2016"
13,"08 July 10, 2016"
14,"09 July 10, 2016"
15,"09 July 10, 2016"
16,"09 July 10, 2016"
17,"09 July 10, 2016"
18,"09 July 10, 2016"
19,"09 July 10, 2016"
20,"09 July 10, 2016"
21,"09 July 10, 2016"
22,"09 July 10, 2016"
23,"09 July 10, 2016"
24,"09 July 10, 2016"
25,"09 July 10, 2016"
26,"09 July 10, 2016"
27,"09 July 10, 2016"
28,"09 July 10, 2016"
29,"10 July 10, 2016"
30,"10 July 10, 2016"
31,"10 July 10, 2016"
32,"10 July 10, 2016"
33,"10 July 10, 2016"
34,"10 July 10, 2016"
35,"10 July 10, 2016"
36,"10 July 10, 2016"
37,"10 July 10, 2016"
38,"10 July 10, 2016"
39,"11 July 10, 2016"
40,"11 July 10, 2016"
41,"11 July 10, 2016"
42,"11 July 10, 2016"
43,"11 July 10, 2016"
44,"12 July 10, 2016"
45,"12 July 10, 2016"
46,"12 July 10, 2016"
47,"12 July 10, 2016"
48,"12 July 10, 2016"
49,"12 July 10, 2016"
50,"13 July 10, 2016"
51,"13 July 10, 2016"
52,"13 July 10, 2016"
53,"13 July 10, 2016"
54,"13 July 10, 2016"
55,"13 July 10, 2016"
56,"14 July 10, 2016"
57,"14 July 10, 2016"
58,"14 July 10, 2016"
59,"14 July 10, 2016"
60,"14 July 10, 2016"
61,"14 July 10, 2016"
62,"15 July 10, 2016"
63,"15 July 10, 2016"
64,"15 July 10, 2016"
65,"16 July 10, 2016"
66,"16 July 10, 2016"
67,"16 July 10, 2016"
68,"16 July 10, 2016"
69,"17 July 10, 2016"
70,"17 July 10, 2016"
71,"17 July 10, 2016"
72,"17 July 10, 2016"
73,"18 July 10, 2016"
74,"18 July 10, 2016"
75,"18 July 10, 2016"
76,"19 July 10, 2016"
77,"20 July 10, 2016"
78,"20 July 10, 2016"
79,"21 July 10, 2016"
80,"21 July 10, 2016"
81,"21 July 10, 2016"
82,"21 July 10, 2016"
83,"21 July 10, 2016"
84,"21 July 10, 2016"
85,"21 July 10, 2016"
86,"21 July 10, 2016"
87,"21 July 10, 2016"
88,"21 July 10, 2016"
89,"21 July 10, 2016"
90,"22 July 10, 2016"
91,"22 July 10, 2016"
92,"22 July 10, 2016"
93,"22 July 10, 2016"
94,"22 July 10, 2016"
95,"22 July 10, 2016"
96,"22 July 10, 2016"
97,"22 July 10, 2016"
98,"22 July 10, 2016"
