,0
0,"00 July 10, 2016"
1,"00 July 10, 2016"
2,"04 July 10, 2016"
3,"05 July 10, 2016"
4,"05 July 10, 2016"
5,"05 July 10, 2016"
6,"06 July 10, 2016"
7,"06 July 10, 2016"
8,"06 July 10, 2016"
9,"06 July 10, 2016"
10,"06 July 10, 2016"
11,"06 July 10, 2016"
12,"06 July 10, 2016"
13,"07 July 10, 2016"
14,"07 July 10, 2016"
15,"07 July 10, 2016"
16,"07 July 10, 2016"
17,"07 July 10, 2016"
18,"07 July 10, 2016"
19,"07 July 10, 2016"
20,"07 July 10, 2016"
21,"08 July 10, 2016"
22,"08 July 10, 2016"
23,"08 July 10, 2016"
24,"08 July 10, 2016"
25,"08 July 10, 2016"
26,"08 July 10, 2016"
27,"08 July 10, 2016"
28,"08 July 10, 2016"
29,"08 July 10, 2016"
30,"08 July 10, 2016"
31,"08 July 10, 2016"
32,"09 July 10, 2016"
33,"09 July 10, 2016"
34,"09 July 10, 2016"
35,"09 July 10, 2016"
36,"09 July 10, 2016"
37,"09 July 10, 2016"
38,"09 July 10, 2016"
39,"09 July 10, 2016"
40,"09 July 10, 2016"
41,"09 July 10, 2016"
42,"09 July 10, 2016"
43,"09 July 10, 2016"
44,"09 July 10, 2016"
45,"09 July 10, 2016"
46,"09 July 10, 2016"
47,"09 July 10, 2016"
48,"09 July 10, 2016"
49,"09 July 10, 2016"
50,"09 July 10, 2016"
51,"10 July 10, 2016"
52,"10 July 10, 2016"
53,"10 July 10, 2016"
54,"10 July 10, 2016"
55,"10 July 10, 2016"
56,"10 July 10, 2016"
57,"10 July 10, 2016"
58,"10 July 10, 2016"
59,"10 July 10, 2016"
60,"10 July 10, 2016"
61,"10 July 10, 2016"
62,"10 July 10, 2016"
63,"10 July 10, 2016"
64,"10 July 10, 2016"
65,"10 July 10, 2016"
66,"10 July 10, 2016"
67,"00 November 20, 2016"
68,"10 July 10, 2016"
69,"11 July 10, 2016"
70,"11 July 10, 2016"
71,"11 July 10, 2016"
72,"11 July 10, 2016"
73,"11 July 10, 2016"
74,"11 July 10, 2016"
75,"11 July 10, 2016"
76,"11 July 10, 2016"
77,"11 July 10, 2016"
78,"11 July 10, 2016"
79,"11 July 10, 2016"
80,"11 July 10, 2016"
81,"11 July 10, 2016"
82,"12 July 10, 2016"
83,"12 July 10, 2016"
84,"12 July 10, 2016"
85,"12 July 10, 2016"
86,"12 July 10, 2016"
87,"12 July 10, 2016"
88,"13 July 10, 2016"
89,"13 July 10, 2016"
90,"13 July 10, 2016"
91,"00 November 13, 2016"
92,"13 July 10, 2016"
93,"13 July 10, 2016"
94,"13 July 10, 2016"
95,"14 July 10, 2016"
96,"14 July 10, 2016"
97,"14 July 10, 2016"
98,"14 July 10, 2016"
99,"15 July 10, 2016"
100,"15 July 10, 2016"
101,"15 July 10, 2016"
102,"15 July 10, 2016"
103,"00 March 20, 2016"
104,"15 July 10, 2016"
105,"15 July 10, 2016"
106,"15 July 10, 2016"
107,"15 July 10, 2016"
108,"15 July 10, 2016"
109,"15 July 10, 2016"
110,"16 July 10, 2016"
111,"16 July 10, 2016"
112,"16 July 10, 2016"
113,"16 July 10, 2016"
114,"16 July 10, 2016"
115,"16 July 10, 2016"
116,"16 July 10, 2016"
117,"16 July 10, 2016"
118,"16 July 10, 2016"
119,"16 July 10, 2016"
120,"17 July 10, 2016"
121,"17 July 10, 2016"
122,"17 July 10, 2016"
123,"17 July 10, 2016"
124,"17 July 10, 2016"
125,"17 July 10, 2016"
126,"17 July 10, 2016"
127,"17 July 10, 2016"
128,"17 July 10, 2016"
129,"00 June 08, 2016"
130,"17 July 10, 2016"
131,"17 July 10, 2016"
132,"17 July 10, 2016"
133,"17 July 10, 2016"
134,"18 July 10, 2016"
