,0
0,"00 July 10, 2016"
1,"00 July 10, 2016"
2,"01 July 10, 2016"
3,"04 July 10, 2016"
4,"01 July 10, 2016"
5,"03 July 10, 2016"
6,"03 July 10, 2016"
7,"04 July 10, 2016"
8,"04 July 10, 2016"
9,"06 July 10, 2016"
10,"06 July 10, 2016"
11,"06 July 10, 2016"
12,"07 July 10, 2016"
13,"07 July 10, 2016"
14,"07 July 10, 2016"
15,"07 July 10, 2016"
16,"07 July 10, 2016"
17,"08 July 10, 2016"
18,"08 July 10, 2016"
19,"08 July 10, 2016"
20,"00 November 19, 1969"
21,"08 July 10, 2016"
22,"08 July 10, 2016"
23,"08 July 10, 2016"
24,"08 July 10, 2016"
25,"08 July 10, 2016"
26,"08 July 10, 2016"
27,"08 July 10, 2016"
28,"08 July 10, 2016"
29,"08 July 10, 2016"
30,"08 July 10, 2016"
31,"08 July 10, 2016"
32,"08 July 10, 2016"
33,"09 July 10, 2016"
34,"09 July 10, 2016"
35,"09 July 10, 2016"
36,"09 July 10, 2016"
37,"09 July 10, 2016"
38,"09 July 10, 2016"
39,"09 July 10, 2016"
40,"09 July 10, 2016"
41,"09 July 10, 2016"
42,"09 July 10, 2016"
43,"01 January 01, 1900"
44,"01 January 01, 1900"
45,"02 January 01, 1900"
46,"04 January 01, 1900"
47,"10 July 10, 2016"
48,"10 July 10, 2016"
49,"10 July 10, 2016"
50,"10 July 10, 2016"
51,"10 July 10, 2016"
52,"10 July 10, 2016"
53,"10 July 10, 2016"
54,"10 July 10, 2016"
55,"10 July 10, 2016"
56,"10 July 10, 2016"
57,"10 July 10, 2016"
58,"10 July 10, 2016"
59,"10 July 10, 2016"
60,"00 June 07, 2016"
61,"10 July 10, 2016"
62,"10 July 10, 2016"
63,"00 June 19, 2016"
64,"11 July 10, 2016"
65,"11 July 10, 2016"
66,"11 July 10, 2016"
67,"11 July 10, 2016"
68,"11 July 10, 2016"
69,"11 July 10, 2016"
70,"11 July 10, 2016"
71,"11 July 10, 2016"
72,"11 July 10, 2016"
73,"12 July 10, 2016"
74,"12 July 10, 2016"
75,"12 July 10, 2016"
76,"12 July 10, 2016"
77,"12 July 10, 2016"
78,"12 July 10, 2016"
79,"12 July 10, 2016"
80,"12 July 10, 2016"
81,"12 July 10, 2016"
82,"12 July 10, 2016"
83,"12 July 10, 2016"
84,"12 July 10, 2016"
85,"12 July 10, 2016"
86,"12 July 10, 2016"
87,"12 July 10, 2016"
88,"12 July 10, 2016"
89,"12 July 10, 2016"
90,"12 July 10, 2016"
91,"12 July 10, 2016"
92,"12 July 10, 2016"
93,"12 July 10, 2016"
94,"12 July 10, 2016"
95,"12 July 10, 2016"
96,"13 July 10, 2016"
97,"13 July 10, 2016"
98,"13 July 10, 2016"
99,"13 July 10, 2016"
100,"13 July 10, 2016"
101,"13 July 10, 2016"
102,"13 July 10, 2016"
103,"13 July 10, 2016"
104,"13 July 10, 2016"
105,"13 July 10, 2016"
106,"13 July 10, 2016"
107,"13 July 10, 2016"
108,"13 July 10, 2016"
109,"14 July 10, 2016"
110,"14 July 10, 2016"
111,"14 July 10, 2016"
112,"14 July 10, 2016"
113,"14 July 10, 2016"
114,"14 July 10, 2016"
115,"15 July 10, 2016"
116,"15 July 10, 2016"
117,"15 July 10, 2016"
118,"00 November 19, 2016"
119,"15 July 10, 2016"
120,"15 July 10, 2016"
121,"16 July 10, 2016"
122,"16 July 10, 2016"
123,"16 July 10, 2016"
124,"16 July 10, 2016"
125,"16 July 10, 2016"
126,"16 July 10, 2016"
127,"16 July 10, 2016"
128,"16 July 10, 2016"
129,"16 July 10, 2016"
130,"16 July 10, 2016"
131,"16 July 10, 2016"
132,"17 July 10, 2016"
133,"17 July 10, 2016"
134,"17 July 10, 2016"
